,group,names,scores,logfoldchanges,pvals,pvals_adj
17537,1,RRAS2,9.33726,1.9018506,9.885885368130602e-21,2.397533731410281e-19
17538,1,HIVEP1,9.157131,2.1840587,5.3295267093480404e-20,1.2357263460702719e-18
17542,1,PPM1H,8.819788,1.7110204,1.146765319394358e-18,2.4087604953695967e-17
17552,1,XPR1,8.264182,1.9265145,1.4065534289121908e-16,2.478979236604046e-15
17556,1,ADAMTS18,8.04511,1.9330989,8.616784197782516e-16,1.4469051421020923e-14
17561,1,HIVEP2,7.6518226,1.722274,1.9815019242183878e-14,3.021356655552959e-13
34826,2,KCNQ5,40.704296,3.3857906,0.0,0.0
34828,2,PCSK2,35.62049,3.1008227,6.749906422494843e-278,3.9178706844967564e-274
34829,2,SATB2,35.549606,3.1926234,8.426228762115186e-277,3.6681480358677937e-273
34830,2,GRIN2A,29.738787,2.4840505,2.4215326640142565e-194,8.43322965569605e-191
34831,2,KHDRBS3,29.601948,2.3916435,1.4104696305288023e-192,4.093417946066339e-189
34832,2,SOX5,29.262093,2.4728382,3.15104991998826e-188,7.838461750965082e-185
34834,2,RAPGEF5,28.213411,2.6632214,4.003835811985069e-175,7.746532554899556e-172
34835,2,LDB2,28.06674,2.667308,2.4958443841150607e-173,4.3460138260595554e-170
34837,2,IL1RAPL2,26.857773,2.9651997,6.843753661357081e-159,9.930856875434237e-156
34839,2,DLG1,26.411703,2.2235823,1.0054906252550821e-153,1.2506148755404818e-150
34840,2,ARHGAP15,26.1556,2.3898525,8.511000047378569e-151,9.880136255000202e-148
34841,2,UNC5C,25.729391,2.2660086,5.483321487859029e-146,5.967567316755579e-143
34842,2,CDH10,25.531239,2.6087973,8.872559146778809e-144,8.583215134603301e-141
34845,2,ZNF385B,24.523218,2.2105706,8.353100068843397e-133,6.926311023750955e-130
34846,2,FOXP1,24.515215,2.420592,1.0167299035632475e-132,8.047417186703104e-130
34847,2,EXT1,24.228071,2.0890462,1.126081099187196e-129,8.525413121802888e-127
34848,2,GRM1,24.069656,2.2435203,5.197990814688206e-128,3.7713589190069056e-125
34849,2,NELL2,24.066006,1.8727216,5.676039792017246e-128,3.9534752359358523e-125
34850,2,PEX5L,23.86424,2.0861723,7.205326088221106e-126,4.8256285836228506e-123
34852,2,EFNA5,23.110666,2.2799437,3.6170145685001604e-118,2.0994358227097766e-115
34853,2,CDH6,22.604698,2.7911658,3.8963105025180286e-113,2.1885953154950462e-110
34854,2,FBXW7,22.464613,2.0013864,9.211133157606153e-112,4.860407929496847e-109
34856,2,PRKCB,22.233618,2.0817924,1.6249338786305468e-109,8.084278179598202e-107
34857,2,CELF4,22.1627,1.9534038,7.868743292991053e-109,3.7032007286717084e-106
34858,2,PTPRK,21.720997,1.882057,1.2992871973350418e-104,5.953812622946074e-102
34859,2,CNTN3,21.600367,2.0897486,1.7819254526548244e-103,7.956068694122681e-101
34860,2,CNKSR2,21.576113,1.8965192,3.0115129332350757e-103,1.3109868676605594e-100
34861,2,PLXNA4,21.363688,1.7286997,2.909119227867855e-101,1.2355242223137309e-98
34862,2,HECW1,20.77726,1.9631557,6.951420436320534e-96,2.8820258108964156e-93
34865,2,FAT3,20.369461,1.7247657,3.120908109464448e-92,1.207652731335654e-89
34866,2,NEDD4L,20.241611,1.6306169,4.211697505423585e-91,1.5943106230856713e-88
34870,2,SLC17A7,19.154467,2.3110018,8.88323013207053e-82,3.0936737257948824e-79
34872,2,CA10,19.045061,1.8744235,7.220188919145746e-81,2.372172634888394e-78
